geo,country,year,consumption,production,population,region
nor,Norway,2022,5,0,5434319,europe
omn,Oman,2022,0,0,4576298,asia
pak,Pakistan,2022,1,0,235824862,asia
pse,Palestine,2022,0,0,5250072,asia
pan,Panama,2022,0,0,4408581,americas
png,Papua New Guinea,2022,0,4190000,10142619,asia
pry,Paraguay,2022,0,0,6780744,americas
per,Peru,2022,2,16052155,34049588,americas
phl,Philippines,2022,3,100007,115559009,asia
pol,Poland,2022,0,0,39857145,europe
prt,Portugal,2022,0,0,10270865,europe
qat,Qatar,2022,6,0,2695122,asia
rou,Romania,2022,0,0,19659267,europe
rus,Russia,2022,4,0,144713314,europe
rwa,Rwanda,2022,0,4806100,13776698,africa
wsm,Samoa,2022,3,3000000,222382,asia
stp,Sao Tome and Principe,2022,2,0,227380,africa
sau,Saudi Arabia,2022,3,0,36408820,asia
sen,Senegal,2022,0,0,17316449,africa
srb,Serbia,2022,1,0,7221365,europe
syc,Seychelles,2022,1,0,107118,africa
sle,Sierra Leone,2022,0,0,8605718,africa
sgp,Singapore,2022,6,0,5975689,asia
svk,Slovak Republic,2022,2,0,5643453,europe
svn,Slovenia,2022,3,0,2119844,europe
slb,Solomon Islands,2022,2,5000,724273,asia
som,Somalia,2022,6,0,17597511,africa
zaf,South Africa,2022,3,0,59893885,africa
kor,South Korea,2022,6,0,51815810,asia
ssd,South Sudan,2022,0,0,10913164,africa
esp,Spain,2022,0,0,47558630,europe
lka,Sri Lanka,2022,0,0,21832143,asia
lca,St. Lucia,2022,0,3300,179857,americas
vct,St. Vincent and the Grenadines,2022,2,22953,103948,americas
sdn,Sudan,2022,2,4806100,46874204,africa
sur,Suriname,2022,2,3000000,618040,americas
swz,Swaziland,2022,2,0,1201670,africa
swe,Sweden,2022,0,0,10549347,europe
che,Switzerland,2022,5,0,8740472,europe
syr,Syria,2022,0,0,22125249,asia
twn,Taiwan,2022,0,1500000,238933940,asia
tjk,Tajikistan,2022,1,1400000,99527870,asia
tza,Tanzania,2022,2,12388000,654977480,africa
tha,Thailand,2022,0,1000000,716970300,asia
tls,Timor-Leste,2022,1,500000,1341296,asia
tgo,Togo,2022,0,0,8848699,africa
ton,Tonga,2022,1,0,106858,asia
tto,Trinidad and Tobago,2022,4,0,1531044,americas
tun,Tunisia,2022,7,0,12356117,africa
tur,Turkey,2022,0,0,85341241,europe
tkm,Turkmenistan,2022,2,0,6430770,asia
uga,Uganda,2022,1,3500000,472495850,africa
ukr,Ukraine,2022,0,0,39701739,europe
are,United Arab Emirates,2022,2,0,9441129,asia
gbr,United Kingdom,2022,3,0,67508936,europe
usa,United States,2022,1,9920220,3382898570,americas
ury,Uruguay,2022,0,0,3422794,americas
uzb,Uzbekistan,2022,3,459,34627652,asia
vut,Vanuatu,2022,6,148500,326740,asia
ven,Venezuela,2022,7,2814425,283016960,americas
vnm,Vietnam,2022,4,200000,98186856,asia
yem,Yemen,2022,2,0,33696614,asia
zmb,Zambia,2022,1,0,20017675,africa
zwe,Zimbabwe,2022,0,1400000,163205370,africa
,,,0,,,
